"author","year","title","exposure","outcome","outcome_info","outcome_group","MR_design","MR_method","effect_estimate","estimate"
"Palmer",2012,"Using multiple genetic variants


as instrumental variables for


modifiable risk factors","fat mass","bone mineral density","bone mineral density","skeletal","One-sample","Two-stage-least-squares","OR","1.63"
"Timpson",2009,"How Does Body Fat Influence Bone Mass in Childhood? A Mendelian Randomization Approach","fat mass","bone mineral density","bone mineral density","skeletal","One-sample","Two-stage-least-squares","Ratio of means","1.062"
"Timpson",2009,"How Does Body Fat Influence Bone Mass in Childhood? A Mendelian Randomization Approach","fat mass","bone mineral density","spine","skeletal","One-sample","Two-stage-least-squares","Ratio of means","1.047"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","birth weight","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","OR","1.22"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","birth weight","breast cancer","ER-","cancer","Two-sample summary-level","Inverse variance weighted","OR","1.01"
"Kar",2018,"The association between weight at birth and breast cancer risk revisited using Mendelian randomisation","birth weight","breast cancer","breast cancer","cancer","Two-sample summary-level","IVW","OR","0.86"
"Kar",2018,"The association between weight at birth and breast cancer risk revisited using Mendelian randomisation","birth weight","breast cancer","ER+","cancer","Two-sample summary-level","IVW","OR","0.86"
"Kar",2018,"The association between weight at birth and breast cancer risk revisited using Mendelian randomisation","birth weight","breast cancer","ER-","cancer","Two-sample summary-level","IVW","OR","0.92"
"Benn",2016,"High body mass index and cancer risk—a Mendelian randomisation study","BMI","breast cancer","premenopausal","cancer","One-sample","Two-stage-least-squares","HR","0.47"
"Benn",2016,"High body mass index and cancer risk—a Mendelian randomisation study","BMI","breast cancer","postmenopausal","cancer","One-sample","Two-stage-least-squares","HR","1.11"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.6"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","ER-","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.53"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.66"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","ER-","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.59"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","OR","1.05"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","ER-","cancer","Two-sample summary-level","Inverse variance weighted","OR","1.17"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.75"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","BMI","breast cancer","ER-","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.66"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","breast cancer","breast cancer","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.01"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","breast cancer","cancer","One-sample","Logistic regression model","OR","0.95"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","premenopausal","cancer","One-sample","Logistic regression model","OR","0.96"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","postmenopausal","cancer","One-sample","Logistic regression model","OR","0.96"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","never HRT","cancer","One-sample","Logistic regression model","OR","0.98"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ever HRT","cancer","One-sample","Logistic regression model","OR","0.93"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER+","cancer","One-sample","Logistic regression model","OR","0.98"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER-","cancer","One-sample","Logistic regression model","OR","1.01"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR+","cancer","One-sample","Logistic regression model","OR","0.98"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR-","cancer","One-sample","Logistic regression model","OR","1.13"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR+","cancer","One-sample","Logistic regression model","OR","0.97"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR-","cancer","One-sample","Logistic regression model","OR","0.93"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","breast cancer","cancer","One-sample","Logistic regression model","OR","0.9"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","premenopausal","cancer","One-sample","Logistic regression model","OR","0.91"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","postmenopausal","cancer","One-sample","Logistic regression model","OR","0.91"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","never HRT","cancer","One-sample","Logistic regression model","OR","0.92"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ever HRT","cancer","One-sample","Logistic regression model","OR","0.86"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER+","cancer","One-sample","Logistic regression model","OR","0.93"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER-","cancer","One-sample","Logistic regression model","OR","0.95"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR+","cancer","One-sample","Logistic regression model","OR","0.93"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR-","cancer","One-sample","Logistic regression model","OR","0.92"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR+","cancer","One-sample","Logistic regression model","OR","0.93"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR-","cancer","One-sample","Logistic regression model","OR","0.9"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","breast cancer","cancer","One-sample","Logistic regression model","OR","0.84"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","premenopausal","cancer","One-sample","Logistic regression model","OR","0.78"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","postmenopausal","cancer","One-sample","Logistic regression model","OR","0.88"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","never HRT","cancer","One-sample","Logistic regression model","OR","0.89"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ever HRT","cancer","One-sample","Logistic regression model","OR","0.84"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER+","cancer","One-sample","Logistic regression model","OR","0.9"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER-","cancer","One-sample","Logistic regression model","OR","0.91"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR+","cancer","One-sample","Logistic regression model","OR","0.89"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR-","cancer","One-sample","Logistic regression model","OR","0.9"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR+","cancer","One-sample","Logistic regression model","OR","0.89"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR-","cancer","One-sample","Logistic regression model","OR","0.8"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","breast cancer","cancer","One-sample","Logistic regression model","OR","0.65"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","premenopausal","cancer","One-sample","Logistic regression model","OR","0.44"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","postmenopausal","cancer","One-sample","Logistic regression model","OR","0.57"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","never HRT","cancer","One-sample","Logistic regression model","OR","0.6"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ever HRT","cancer","One-sample","Logistic regression model","OR","0.47"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER+","cancer","One-sample","Logistic regression model","OR","0.68"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER-","cancer","One-sample","Logistic regression model","OR","0.45"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR+","cancer","One-sample","Logistic regression model","OR","0.65"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","PR-","cancer","One-sample","Logistic regression model","OR","0.47"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR+","cancer","One-sample","Logistic regression model","OR","0.66"
"Guo",2016,"Genetically Predicted Body Mass Index and Breast Cancer Risk: Mendelian Randomization Analyses of Data from 145,000 Women of European Descent","BMI","breast cancer","ER/PR-","cancer","One-sample","Logistic regression model","OR","0.42"
"Guo",2017,"Body mass index and breast cancer survival: a Mendelian randomization analysis","BMI","breast cancer","ER- survival","cancer","One-sample","Not discussed","HR","1"
"Guo",2017,"Body mass index and breast cancer survival: a Mendelian randomization analysis","BMI","breast cancer","ER+ survival","cancer","One-sample","Not discussed","HR","1.11"
"Guo",2017,"Body mass index and breast cancer survival: a Mendelian randomization analysis","BMI","breast cancer","ER- survival","cancer","Two-sample summary-level","Inverse variance weighted","HR","1.01"
"Guo",2017,"Body mass index and breast cancer survival: a Mendelian randomization analysis","BMI","breast cancer","ER+ survival","cancer","Two-sample summary-level","Inverse variance weighted","HR","1.11"
"Guo",2017,"Body mass index and breast cancer survival: a Mendelian randomization analysis","BMI","breast cancer","ER- survival","cancer","Two-sample summary-level","Likelihood based method","HR","1.01"
"Guo",2017,"Body mass index and breast cancer survival: a Mendelian randomization analysis","BMI","breast cancer","ER+ survival","cancer","Two-sample summary-level","Likelihood based method","HR","1.11"
"Qi",2019,"Mendelian randomization analysis using mixture models for robust and efficient estimation of causal effects","BMI","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","log-OR","-0.1"
"Qi",2019,"Mendelian randomization analysis using mixture models for robust and efficient estimation of causal effects","BMI","breast cancer","breast cancer","cancer","Two-sample summary-level","MRMix","log-OR","-0.18"
"Qian",2019,"Height and Body Mass Index as Modifiers of Breast Cancer Risk in BRCA1/2 Mutation Carriers: A Mendelian Randomization Study","BMI","breast cancer","BRCA1/2","cancer","One-sample","Inverse variance weighted (fixed effects)","HR","0.87"
"Qian",2019,"Height and Body Mass Index as Modifiers of Breast Cancer Risk in BRCA1/2 Mutation Carriers: A Mendelian Randomization Study","BMI","breast cancer","BRCA1","cancer","One-sample","Inverse variance weighted (fixed effects)","HR","0.88"
"Qian",2019,"Height and Body Mass Index as Modifiers of Breast Cancer Risk in BRCA1/2 Mutation Carriers: A Mendelian Randomization Study","BMI","breast cancer","BRCA2","cancer","One-sample","Inverse variance weighted (fixed effects)","HR","0.82"
"Shu",2018,"Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis","BMI","breast cancer","breast cancer","cancer","one-sample meta-analysis","Logistic regression model","OR","0.76"
"Shu",2018,"Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis","BMI","breast cancer","breast cancer","cancer","one-sample meta-analysis","Logistic regression model","OR","0.7"
"Shu",2018,"Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis","BMI","breast cancer","breast cancer","cancer","one-sample meta-analysis","Logistic regression model","OR","0.77"
"Shu",2018,"Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis","BMI","breast cancer","breast cancer","cancer","one-sample meta-analysis","Logistic regression model","OR","0.7"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","WHR","breast cancer","breast cancer","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.73"
"Gao",2016,"Mendelian randomization study of adiposity-related traits and risk of breast, ovarian, prostate, lung and colorectal cancer","WHR","breast cancer","ER-","cancer","Two-sample summary-level","Inverse variance weighted","OR","0.74"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","breast cancer","breast cancer","cancer","One-sample","Logistic regression model","OR","0.95"
"Shu",2018,"Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis","WHRadjBMI","breast cancer","breast cancer","cancer","one-sample meta-analysis","Logistic regression model","OR","0.85"
"Shu",2018,"Associations of obesity and circulating
 insulin and glucose with breast cancer risk:
 a Mendelian randomization analysis","WHRadjBMI","breast cancer","breast cancer","cancer","one-sample meta-analysis","Logistic regression model","OR","0.85"
"Reed",2017,"Assessing the causal role of adiposity on disordered eating in
childhood, adolescence, and adulthood: a Mendelian randomization
analysis","BMI","bulimia nervosa","bulimia nervosa","mental health","Two-sample summary-level","Inverse variance weighted","Beta","0.003"
"Millard",2015,"MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization","BMI","burden of compulsions obsessions score","burden of compulsions obsessions score","mental health","MR-PheWAS","Two-stage-least-squares","OR","2.258"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","cancer mortality","cancer mortality","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.28"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","cancer mortality","cancer mortality","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.25"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","cancer mortality","cancer mortality","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.31"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","cancer risk","cancer risk","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.07"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","cancer risk","cancer risk","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.07"
"Gharahkhani",2019,"Effect of increased body mass index on risk of diagnosis or death from cancer","BMI","cancer risk","cancer risk","cancer","One-sample","Inverse variance weighted (fixed effects)","OR","1.08"
"He",2017,"Causal effects of cardiovascular risk factors on onset of major age-related diseases: A time-to-event Mendelian randomization study","BMI","cardiovascular disease","cardiovascular disease","cardiovascular","One-sample","Time-to-event MR","Additive hazards model","0.00107"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","BMI","cardiovascular disease","cardiovascular disease","cardiovascular","Generalized summary data-based MR (GSMR)","GSMR","OR","1.296890559"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","WHRadjBMI","cardiovascular disease","cardiovascular disease","cardiovascular","Generalized summary data-based MR (GSMR)","GSMR","OR","1.248581109"
"Dale",2017,"Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes and Type 2 Diabetes: A Mendelian Randomization Analysis","BMI","carotid IMT","log carotid IMT","cardiovascular","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Mean difference","0.16"
"Holmes",2014,"Causal Effects of Body Mass Index
on Cardiometabolic Traits and Events: A Mendelian Randomization Analysis","BMI","carotid IMT","carotid IMT","cardiovascular","One-sample","Two-stage-least-squares","Beta","1.12"
"Kivima ̈ki",2008,"Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study","BMI","carotid IMT","adult","cardiovascular","One-sample","Instrumental Variable Regression","Beta","0.048"
"Wade",2018,"Assessing the Causal Role of Body Mass Index on Cardiovascular Health in Young Adults","BMI","carotid IMT","carotid IMT","cardiovascular","One-sample","Two-stage-least-squares","Beta","0.002"
"Dale",2017,"Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes and Type 2 Diabetes: A Mendelian Randomization Analysis","WHRadjBMI","carotid IMT","log carotid IMT","cardiovascular","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Mean difference","0.33"
"Lim",2008,"Relation of Age-related Cataract With Obesity and Obesity Genes in an Asian Population","BMI","cataract","any","other","Direct G-O","IV-outcome test","OR","1.17"
"Lim",2008,"Relation of Age-related Cataract With Obesity and Obesity Genes in an Asian Population","BMI","cataract","nuclear","other","Direct G-O","IV-outcome test","OR","1.33"
"Lim",2008,"Relation of Age-related Cataract With Obesity and Obesity Genes in an Asian Population","BMI","cataract","cortical","other","Direct G-O","IV-outcome test","OR","1"
"Lim",2008,"Relation of Age-related Cataract With Obesity and Obesity Genes in an Asian Population","BMI","cataract","posterior subscapular","other","Direct G-O","IV-outcome test","OR","0.86"
"Zeng",2019,"Causal Association between Birth Weight and Adult Diseases: Evidence from a Mendelian Randomisation Analysis","birth weight","celiac disease","celiac disease","immune","Two-sample summary-level","Inverse variance weighted","OR","0.83"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","cervical cancer","cervical cancer","cancer","One-sample","Logistic regression model","OR","0.56"
"Burgess",2014,"Instrumental Variable Analysis with a Nonlinear  Exposure–Outcome Relationship","BMI","cholesterol","total cholesterol","metabolic","One-sample","Linear IV model using localized average causal effect","Linear IV estimate","-1.22E-02"
"Fall",2013,"The Role of Adiposity in Cardiometabolic Traits: A
Mendelian Randomization Analysis","BMI","cholesterol","total cholesterol","metabolic","one-sample meta-analysis","Inverse variance weighted (multiplicative random effects)","Beta","6.00E-03"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","cholesterol","total cholesterol","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0.1"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","cholesterol","total cholesterol","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","−0.19"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","cholesterol","total cholesterol","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","−0.02"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","cholesterol","total cholesterol","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0.03"
"Fall",2015,"Age- and Sex-Specific Causal Effects
of Adiposity on Cardiovascular
Risk Factors","BMI","cholesterol","total cholesterol","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Beta","0"
"Wang",2018,"Type 2 Diabetes and Adiposity Induce Different Lipid Profile Disorders: A Mendelian Randomization Analysis","BMI","cholesterol","total cholesterol","metabolic","One-sample","Wald ratio","Beta","-9.10E-02"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","cholesterol","total cholesterol","metabolic","One-sample","Two-stage-least-squares","Beta","0.0318"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","cholesterol","total cholesterol","metabolic","One-sample","Inverse variance weighted (fixed effects)","Beta","5.6"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","cholesterol esterification","cholesterol esterification (%)","metabolic","One-sample","Two-stage-least-squares","Beta","-0.0943"
"Zeng",2019,"Causal Association between Birth Weight and Adult Diseases: Evidence from a Mendelian Randomisation Analysis","birth weight","chronic kidney disease","chronic kidney disease","renal","Two-sample summary-level","Inverse variance weighted","OR","1"
"Geng",2018,"Childhood BMI and Adult Type 2 Diabetes, Coronary Artery Diseases, Chronic Kidney Disease, and Cardiometabolic Traits: A Mendelian Randomization Analysis","BMI","chronic kidney disease","chronic kidney disease","renal","Two-sample summary-level","Inverse variance weighted","OR","1.14"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","BMI","chronic liver disease","chronic liver disease","hepatic","One-sample","Wald ratio","OR","1.64"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","BMI","chronic liver disease","chronic liver disease","hepatic","One-sample","Wald ratio","OR","1.38"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","BMI","chronic liver disease","chronic liver disease","hepatic","One-sample","Wald ratio","OR","2.08"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","WHR","chronic liver disease","chronic liver disease","hepatic","One-sample","Wald ratio","OR","1.85"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","BMI","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disease","respiratory","One-sample","Wald ratio","OR","1.66"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","BMI","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disease","respiratory","One-sample","Wald ratio","OR","1.54"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","BMI","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disease","respiratory","One-sample","Wald ratio","OR","1.74"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","WHR","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disease","respiratory","One-sample","Wald ratio","OR","1.45"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","WHR","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disease","respiratory","One-sample","Wald ratio","OR","1.89"
"Censin",2019,"Causal relationships between obesity and the leading causes of death in women and men
","WHR","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disease","respiratory","One-sample","Wald ratio","OR","1.22"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","chronic obstructive pulmonary disorder","chronic obstructive pulmonary disorder","respiratory","One-sample","Logistic regression model","OR","0.96"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","citrate","citrate","metabolic","One-sample","Two-stage-least-squares","Beta","-0.616"
"Yarmolinsky",2019,"Appraising the role of previously reported risk factors in epithelial ovarian cancer risk: A Mendelian randomization analysis","BMI","clear cell cancer","clear cell cancer","cancer","Two-sample summary-level","Inverse variance weighted","Beta","0.83"
"Hagenaars",2017,"Cognitive ability and physical health: a Mendelian randomization study ","BMI","cognitive ability","mid to later life","brain","Two-sample summary-level","Inverse variance weighted","Beta","-0.035"
"Laura D Howe",2019,"Effects of body mass index on relationship status, social contact and socio-economic position: Mendelian randomization and within-sibling study in UK Biobank","BMI","cohabitation","cohabitation","social","One-sample","Two-stage-least-squares regression","OR","0.93"
"Laura D Howe",2019,"Effects of body mass index on relationship status, social contact and socio-economic position: Mendelian randomization and within-sibling study in UK Biobank","BMI","cohabitation","cohabitation","social","One-sample","Two-stage-least-squares regression","OR","1.07"
"Laura D Howe",2019,"Effects of body mass index on relationship status, social contact and socio-economic position: Mendelian randomization and within-sibling study in UK Biobank","BMI","cohabitation","cohabitation","social","One-sample","Two-stage-least-squares regression","OR","0.83"
"Benn",2016,"High body mass index and cancer risk—a Mendelian randomisation study","BMI","colon cancer","colon cancer","cancer","One-sample","Two-stage-least-squares","HR","1.75"
"Thrift",2015,"Mendelian Randomization Study of Body Mass Index and Colorectal Cancer Risk","BMI","colon cancer","colon cancer","cancer","One-sample","two-stage control function instrumental variable approach","OR","1.5"
"Thrift",2015,"Mendelian Randomization Study of Body Mass Index and Colorectal Cancer Risk","BMI","colon cancer","colon cancer","cancer","One-sample","two-stage control function instrumental variable approach","OR","1.03"
